"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1119,"CAS CONSTRUCTION","Laois","Presentation Convent & Lands, Portlaoise, ",47,"Sophia Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1120,"CALF Turnkey","Laois","Ballickmoyler, Graiguecullen, Laois (Phase 1)*",20,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1121,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 1)",4,"Cluid Housing","","","","","","Q3-2019"
1122,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 2)",6,"Cluid Housing","","","","","","Q4-2019"
1123,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 3)",5,"Cluid Housing","","","","","","Q2-2020"
1124,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 4)*",6,"Cluid Housing","","","","","Q1-2017",""
1125,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 5)*",9,"Cluid Housing","","","","","Q1-2017",""
1126,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 1)*",9,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1127,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 2)*",27,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1128,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,"T�ath Housing Association Ltd","","","","","","Q3-2018"
1129,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1130,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1131,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 1)",2,"North & East Housing Association Ltd","","","","","Q1-2019",""
1132,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 2)",4,"North & East Housing Association Ltd","","","","","Q1-2019",""
1133,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 3)*",6,"North & East Housing Association Ltd","","","","","Q1-2019",""
1134,"CALF Turnkey","Laois","Droimnin, Stradbally, Co Laois  (Phase 1)",6,"Cluid Housing","","","","","","Q3-2018"
1135,"CALF Turnkey","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 1)",10,"Cluid Housing","","","","","Q3-2018",""
1136,"CALF Turnkey","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 2)",10,"Cluid Housing","","","","","Q3-2018",""
1137,"CALF Construction","Laois","Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,"Cluid Housing","","","","","","Q2-2018"
1138,"CALF Turnkey","Laois","Knockmay Mews, Old Knockmay Road, Portlaoise, Co. Laois (Phase 1)",3,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1139,"CALF Turnkey","Laois","Main Street, Stradbally, Co. Laois (Phase 1)",16,"North & East Housing Association Ltd","","","","","Q1-2019",""
1140,"CALF Construction","Laois","POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,"Oaklee Housing","","","","","","Q1-2018"
1141,"CALF Turnkey","Laois","South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 1)",13,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1142,"CALF Turnkey","Laois","South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 2)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1143,"CALF Turnkey","Laois","South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 3)*",9,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1144,"CALF Turnkey","Laois","The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1145,"CALF Turnkey","Laois","Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,"Respond","","","","Q4-2019","",""
1146,"SHIP CONSTRUCTION TURNKEY","Leitrim","Roosky",7,"*N/A","","","","","","Q4-2019"
1147,"SHIP CONSTRUCTION TURNKEY","Leitrim","Drumshanbo",9,"*N/A","","","","","","Q3-2019"
1148,"SHIP CONSTRUCTION TURNKEY","Leitrim","Church Lane, Ballinamore",9,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1149,"SHIP CONSTRUCTION TURNKEY","Leitrim","Druminshingore, Newtowngore",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1150,"SHIP CONSTRUCTION TURNKEY","Leitrim","Carraig Breac, Drumshanbo",5,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1151,"SHIP CONSTRUCTION TURNKEY","Leitrim","Oakgrove, Kinlough",5,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1152,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Mohill",3,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1153,"SHIP CONSTRUCTION","Laois","Shannon Street, Mountrath",6,"*N/A","","","","","Q1-2020",""
1154,"SHIP CONSTRUCTION","Laois","Conniberry Way, Old Knockmay Road, Portlaoise",33,"*N/A","","","","","","Q2-2018"
1155,"SHIP CONSTRUCTION","Laois","Harbour Court, Mountmellick",6,"*N/A","","","","","Q1-2020",""
1156,"SHIP CONSTRUCTION","Laois","Mooreville, Rathdowney",7,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1157,"SHIP CONSTRUCTION","Laois","Sean Doire, Cork Road, Durrow",22,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1158,"CAS CONSTRUCTION","Leitrim","Ballinamore",2,"Society of Saint Vincent de Paul","","","","","","Q4-2017"
1159,"CALF Turnkey","Leitrim","Cnoc an Luir, Drumshanbo, Co. Leitrim (Phase 1)",10,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1160,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park, Ballysimon Road, Limerick",9,"*N/A","","","","","","Q4-2019"
1161,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park (Phase 2), Ballysimon Road, ",1,"*N/A","","","","","","Q4-2019"
1162,"SHIP CONSTRUCTION TURNKEY","Limerick","Carraig Desmond, Newcastle West",8,"*N/A","","","","","","Q4-2019"
1163,"SHIP CONSTRUCTION TURNKEY","Limerick","Knocklong",2,"*N/A","","","","","Q1-2020",""
1164,"SHIP CONSTRUCTION TURNKEY","Limerick","Carraig Desmond",2,"*N/A","","","","","","Q4-2019"
1165,"SHIP CONSTRUCTION TURNKEY","Limerick","Redgate Close, Old Cratloe Road, Limerick City",14,"*N/A","","","","","Q1-2020",""
1166,"SHIP CONSTRUCTION TURNKEY","Limerick","The Orchard, Main Street, Pallaskenry",16,"*N/A","","","","","Q1-2020",""
1167,"SHIP CONSTRUCTION TURNKEY","Limerick","Castlebrook Manor, Walkers Road, Castletroy",4,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1168,"SHIP CONSTRUCTION RAPID","Limerick","Faha View, Patrickswell",16,"*N/A","","","","","","Q4-2019"
1169,"SHIP CONSTRUCTION RAPID","Limerick","Old Christians Site, Rathbane",43,"*N/A","","","","","Q2-2020",""
1170,"SHIP CONSTRUCTION RAPID","Limerick","Barnakyle, Patrickswell (Site 2)",24,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
1171,"SHIP CONSTRUCTION","Laois","St Kieran's Park, Errill",14,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1172,"SHIP CONSTRUCTION","Laois","Clonrooske, Knockmay",11,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1173,"SHIP CONSTRUCTION","Laois","Carraig Glas, Stradbally",26,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1174,"SHIP CONSTRUCTION","Laois","Stradbally Road, Portlaoise",50,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1175,"SHIP CONSTRUCTION","Laois","Iona",9,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1176,"SHIP CONSTRUCTION","Leitrim","Autumn View, Summerhill, Carrick on Shannon",27,"*N/A","","","","","Q4-2019",""
1177,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 2)",7,"*N/A","","","","","","Q4-2018"
1178,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 3)",5,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1179,"SHIP CONSTRUCTION","Leitrim","Townparks, Carrick on Shannon",12,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1180,"SHIP CONSTRUCTION","Leitrim","Lahard, Ballinamore",10,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1181,"SHIP CONSTRUCTION","Limerick","Patrick�s Villas, Castleconnell",4,"*N/A","","","","","Q3-2019",""
1182,"SHIP CONSTRUCTION","Limerick","Ballysimon, Greenhill Road ",14,"*N/A","","","","","Q1-2020",""
1183,"SHIP CONSTRUCTION","Limerick","Gough Place, Rosbrien Road, Limerick",17,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1184,"SHIP CONSTRUCTION","Limerick","Burke Avenue, Limerick City",12,"*N/A","","","","","","Q4-2019"
1185,"SHIP CONSTRUCTION","Limerick","Fannings Corner, Limerick City",3,"*N/A","","","","","","Q4-2019"
1186,"SHIP CONSTRUCTION","Limerick","Wallers Well, Limerick City (Phase 2)",13,"*N/A","","","","","Q2-2019",""
1187,"SHIP CONSTRUCTION","Limerick","Clonmacken, Limerick City",43,"*N/A","","","","","Q3-2019",""
1188,"SHIP CONSTRUCTION","Limerick","Deerpark, Adare",30,"*N/A","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
1189,"SHIP CONSTRUCTION","Limerick","Glenview Drive, Hospital",20,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1190,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",7,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1191,"SHIP CONSTRUCTION","Limerick","Hasset Villas, Thomondgate",3,"*N/A","","","","","","Q4-2018"
1192,"SHIP CONSTRUCTION","Limerick","Kilmurry Court, Garryowen",7,"*N/A","","","","","","Q4-2019"
1193,"SHIP CONSTRUCTION","Limerick","Rathbane Road, Limerick City",2,"*N/A","","","","","","Q1-2019"
1194,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",79,"*N/A","","","","","","Q4-2017"
1195,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",2,"*N/A","","","","","","Q1-2017"
1196,"REGENERATION","Limerick","Sheep / Athlunkards Street",8,"T�ath Housing Association Ltd","","Stage 2 approved Q2-2014, full design/tender being prepared.","","","",""
1197,"REGENERATION","Limerick","Churchfield",19,"*N/A","","","","","","Q1-2018"
1198,"REGENERATION","Limerick","Churchfield (Phase 2)",38,"Cluid Housing Association","","Stage 2 approved Q4-2014, full design/tender being prepared.","","","",""
1199,"REGENERATION","Limerick","Cosgrave Park",9,"*N/A","","Stage 2 approved Q1-2015, full design/tender being prepared.","","","",""
1200,"REGENERATION","Limerick","Orchard Site",26,"Oaklee Housing Trust","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1201,"REGENERATION","Limerick","176 & 177 Cliona Park",2,"*N/A","","","","","","Q2-2016"
1202,"REGENERATION","Limerick","Cliona Park (Phase 2)",10,"*N/A","","","","","","Q2-2017"
1203,"REGENERATION","Limerick","8-10 Gaol Lane",3,"*N/A","","","","","","Q4-2016"
1204,"REGENERATION","Limerick","1 3 Weston Gardens",3,"*N/A","","","","","","Q2-2016"
1205,"REGENERATION","Limerick","2016 Moyross Rebuild",6,"*N/A","","","","","","Q4-2016"
1206,"REGENERATION","Limerick","2016 Southhill Rebuild",8,"*N/A","","","","","","Q4-2016"
1207,"REGENERATION","Limerick","2016 St. Mary's Park Rebuild",9,"*N/A","","","","","","Q4-2016"
1208,"REGENERATION","Limerick","BCW Vacant Refurbs, Lot 1 & 2**",14,"*N/A","","","","","","Q4-2016"
1209,"REGENERATION","Limerick","St. Mary's Park Infills",15,"*N/A","","","","","","Q4-2018"
1210,"REGENERATION","Limerick","Cliona Park (Phase 3)",18,"T�ath Housing Association Ltd","","Stage 2 approved Q3-2016, full design/tender being prepared.","","","",""
1211,"REGENERATION","Limerick","45A-46A Cliona Park",2,"*N/A","","","","","Q2-2020",""
1212,"REGENERATION","Limerick","Dalgaish Park",27,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1213,"REGENERATION","Limerick","2017 St Mary's Park Rebuild",1,"*N/A","","","","","","Q4-2017"
1214,"REGENERATION","Limerick","2017 Ballinacurra Weston Rebuild",1,"*N/A","","","","","","Q4-2017"
1215,"REGENERATION","Limerick","2017 Southill Rebuilds",13,"*N/A","","","","","","Q4-2017"
1216,"REGENERATION","Limerick","2017 Moyross Rebuild",1,"*N/A","","","","","","Q4-2017"
1217,"REGENERATION","Limerick","Churchfield (Phase 1.1)",23,"*N/A","","","","","","Q2-2018"
1218,"REGENERATION","Limerick","St. Mary's Park Infills (Phase 2)",4,"*N/A","","","","","","Q1-2019"
1219,"REGENERATION","Limerick","Infill developments at Carew Park and Moyross",38,"Peter McVerry Trust Ltd","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1220,"REGENERATION","Limerick","2019 Rebuilds (Southill, Moyross, St Mary's Park and Ballinacurra Weston)",8,"*N/A","","","","","","Q4-2019"
1221,"CAS CONSTRUCTION TURNKEY","Limerick","Carebright Community, Ardykeohane, Bruff",6,"Carebright Ltd","","","","","","Q1-2019"
1222,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral Place",2,"Arlington Novas Ireland Ltd","","","","","","Q4-2019"
1223,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral place",3,"Arlington Novas Ireland Ltd","","","","","","Q1-2020"
1224,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral place",1,"Arlington Novas Ireland Ltd","","","","","","Q2-2020"
1225,"CAS CONSTRUCTION","Limerick","Towerfield Crescent, Croom",16,"Croom Voluntary Housing Association Ltd","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1226,"CAS CONSTRUCTION","Limerick","Cappamore",10,"Cappamore Housing Association Ltd","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
1227,"CAS CONSTRUCTION","Limerick","Speakers Corner, Limerick City",4,"Simon Community : Midwest Simon","","","","","","Q3-2018"
1228,"CAS CONSTRUCTION","Limerick","Cuan Mhuire, Bruree",6,"Cuan Mhuire Teoranta","","","","","","Q3-2018"
1229,"CAS CONSTRUCTION","Limerick","Mirth, Thomondgate",18,"Associated Charities Trust Ltd","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
1230,"CAS CONSTRUCTION","Limerick","Cois na Feile, Abbeyfeale ",12,"Cluid Housing Association","","","","","","Q4-2016"
1231,"CAS CONSTRUCTION","Limerick","2/3 Mallow Street",12,"Peter McVerry Trust Ltd","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
1232,"CAS CONSTRUCTION","Limerick","St. Pauls Convent, Kilfinane",9,"Sophia Housing Association Ltd","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1233,"CAS CONSTRUCTION","Limerick","McGarry House, 7 Alphonsus Street",8,"Arlington Novas Ireland Ltd","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1234,"CAS CONSTRUCTION","Limerick","47 & 48 Main Street, Croom, Limerick",4,"Croom Voluntary Housing Association Ltd","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1235,"CAS CONSTRUCTION","Limerick","58 Henry Street",5,"Simon Community : Midwest Simon","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
1236,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1237,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 2)",2,"Respond","","","","","","Q4-2018"
1238,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 3)",2,"Respond","","","","","","Q4-2018"
1239,"CALF Turnkey","Limerick","Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 1)",46,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
1240,"CALF Turnkey","Limerick","Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 2)*",25,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
1241,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 1)*",25,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1242,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 2)",27,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1243,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 3)*",35,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1244,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 4)*",33,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1245,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 5)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1246,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 1)*",24,"Co - Operative Housing Ireland Society Limited","","","","Q3-2020","",""
1247,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 2)*",23,"Co - Operative Housing Ireland Society Limited","","","","Q3-2020","",""
1248,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 3)*",21,"Co - Operative Housing Ireland Society Limited","","","","Q3-2020","",""
1249,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 4)*",20,"Co - Operative Housing Ireland Society Limited","","","","Q3-2020","",""
1250,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 5)*",22,"Co - Operative Housing Ireland Society Limited","","","","Q3-2020","",""
1251,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2018"
1252,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
1253,"CALF Turnkey","Limerick","Drominbeg, Rhebogue, Limerick (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","Q1-2020","",""
1254,"CALF Turnkey","Limerick","Drominbeg, Rhebogue, Limerick (Phase 2)",10,"Co - Operative Housing Ireland Society Limited","","","","Q1-2020","",""
1255,"CALF Turnkey","Limerick","Glendale Lawn, Bloodmill Road, Limerick (Phase 1)",4,"Cluid Housing","","","","Q2-2020","",""
1256,"CALF Construction","Limerick","Hyde Road, Limerick City (Phase 1)",20,"Cluid Housing","","","","","","Q1-2018"
1257,"CALF Turnkey","Limerick","Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,"Cluid Housing","","","","","","Q2-2017"
1258,"CALF Turnkey","Limerick","Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 1)*",19,"Cluid Housing","","","","Q2-2020","",""
1259,"CALF Turnkey","Limerick","Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 2)",11,"Cluid Housing","","","","Q2-2020","",""
1260,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",14,"*N/A","","","","","","Q4-2017"
1261,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough",4,"*N/A","","","","","","Q3-2018"
1262,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish (Phase 2)",2,"*N/A","","","","","","Q1-2018"
1263,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck",7,"*N/A","","","","","","Q4-2018"
1264,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 2)",4,"*N/A","","","","","","Q3-2019"
1265,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 3)",6,"*N/A","","","","","","Q4-2019"
1266,"SHIP CONSTRUCTION TURNKEY","Longford","Rock View, Cloondara",5,"*N/A","","","","","","Q4-2018"
1267,"SHIP CONSTRUCTION TURNKEY","Longford","Greville Court, Granard",14,"*N/A","","","","","","Q4-2019"
1268,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough (Phase 2)",29,"*N/A","","","","","","Q4-2018"
1269,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",2,"*N/A","","","","","","Q4-2019"
1270,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",4,"*N/A","","","","","","Q3-2019"
1271,"SHIP CONSTRUCTION TURNKEY","Longford","Church Street, Edgeworthstown",5,"*N/A","","","","","Q1-2019",""
1272,"SHIP CONSTRUCTION TURNKEY","Longford","Smithfield, Legan",18,"*N/A","","","","","Q1-2020",""
1273,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q4-2019"
1274,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q2-2019"
1275,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard (Phase 4)",6,"*N/A","","","","","","Q4-2019"
1276,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard (Phase 2)",4,"*N/A","","","","","","Q2-2019"
1277,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish (Phase 3)",4,"*N/A","","","","","","Q3-2019"
1278,"SHIP CONSTRUCTION TURNKEY","Longford"," Abhainn Glas, Edgeworthstown",4,"*N/A","","","","","","Q4-2019"
