"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
842,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,"Respond","","","","","","Q4-2019"
843,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,"Respond","","","","","","Q3-2020"
844,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 1)",10,"Respond","","","","","","Q4-2019"
845,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 2)",39,"Respond","","","","","","Q4-2020"
846,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 3)",32,"Respond","","","","","","Q4-2020"
847,"CALF Turnkey","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cluid Housing","","","","","","Q3-2017"
848,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City  (Phase 1)",9,"Cluid Housing","","","","","","Q4-2020"
849,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City  (Phase 2)",10,"Cluid Housing","","","","","Q4-2019",""
850,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,"Cluid Housing","","","","","Q4-2019",""
851,"CALF Turnkey","Galway City","Gaelcarrig, Letteragh, Galway City (Phase 1)*",83,"Respond","","","","","Q3-2020",""
852,"CALF Turnkey","Galway City","Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
853,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 1)*",10,"Cluid Housing","","","","","Q3-2020",""
854,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 2)",13,"Cluid Housing","","","","","Q3-2020",""
855,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 3)",16,"Cluid Housing","","","","","Q3-2020",""
856,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 4)*",25,"Cluid Housing","","","","","Q3-2020",""
857,"CALF Turnkey","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2017"
858,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"Túath Housing Association","","","","","","Q1-2017"
859,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"Túath Housing Association","","","","","","Q4-2017"
860,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"Túath Housing Association","","","","","","Q3-2018"
861,"CALF Turnkey","Galway City","Reilean, Roscam, Block 5 Galway (Phase 1)*",12,"Túath Housing Association","","","","","","Q2-2017"
862,"CALF Turnkey","Galway City","Reilean, Roscam,Block 4 Galway (Phase 1)*",12,"Túath Housing Association","","","","","","Q2-2017"
863,"CALF Turnkey","Galway City","Revised Murrough, Renmore, Galway  (Phase 1)*",20,"Cluid Housing","","","","","","Q1-2019"
864,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke",74,"*N/A","","","","","Q4-2019",""
865,"SHIP CONSTRUCTION TURNKEY","Galway County","Lorro Gate, Prospect, Athenry",14,"*N/A","","","","","","Q4-2017"
866,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",6,"*N/A","","","","","","Q4-2017"
867,"SHIP CONSTRUCTION TURNKEY","Galway County","Castlecourt, Abbey Street, Portumna",10,"*N/A","","","","","","Q4-2017"
868,"SHIP CONSTRUCTION TURNKEY","Galway County","Ashthorn Avenue, Headford",10,"*N/A","","","","","","Q4-2018"
869,"SHIP CONSTRUCTION TURNKEY","Galway County","Cuirt na hAbhann, Claregalway ",8,"*N/A","","","","","","Q4-2018"
870,"SHIP CONSTRUCTION TURNKEY","Galway County","Tulaigh na Gréine, Tullahill, Loughrea",19,"*N/A","","","","","","Q4-2019"
871,"SHIP CONSTRUCTION TURNKEY","Galway County","Gort na dTulach, Tullahill, Loughrea - Phase 2A",17,"*N/A","","","","","","Q4-2019"
872,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",4,"*N/A","","","","","","Q4-2019"
873,"SHIP CONSTRUCTION TURNKEY","Galway County","Gort an Choirce, Tubber Road, Gort",53,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
874,"SHIP CONSTRUCTION TURNKEY","Galway County","Cois na hAbhainn, Tuam",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
875,"SHIP CONSTRUCTION TURNKEY","Galway County","P�irc an Triant�in, Tullahill, Loughrea, - Phase 3",10,"*N/A","","","","","","Q4-2020"
876,"SHIP CONSTRUCTION TURNKEY","Galway County","Gort na dTulach, Tullahill, Loughrea - Phase 2B",15,"*N/A","","","","","","Q4-2020"
877,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","","Q4-2020"
878,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",10,"*N/A","","","","","","Q4-2020"
879,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",7,"*N/A","","","","","","Q4-2020"
880,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",9,"*N/A","","","","","Q3-2019",""
881,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",10,"*N/A","","","","","Q3-2019",""
882,"SHIP CONSTRUCTION TURNKEY","Galway County","Garra� Mhic Aodha, Tubber Road, Gort ",31,"*N/A","","","","","Q2-2019",""
883,"SHIP CONSTRUCTION","Galway County","Esker Fields, Ballinasloe",2,"*N/A","","","","","","Q4-2019"
884,"SHIP CONSTRUCTION","Galway County","Garbally Drive, Ballinasloe",10,"*N/A","","","","","","Q3-2019"
885,"SHIP CONSTRUCTION","Galway County","Na Clocha Rua, An Cheathr� Rua",4,"*N/A","","","","","","Q4-2019"
886,"SHIP CONSTRUCTION","Galway County","Ardrahan (SRD)",1,"*N/A","","","","","","Q4-2017"
887,"SHIP CONSTRUCTION","Galway County","Callowfinish, Carna (SRD)",1,"*N/A","","","","","","Q2-2018"
888,"SHIP CONSTRUCTION","Galway County","Waterdale, Claregalway (SRD)",1,"*N/A","","","","","","Q4-2018"
889,"SHIP CONSTRUCTION","Galway County","Corndulla (SRD)",1,"*N/A","","","","","","Q1-2019"
890,"SHIP CONSTRUCTION","Galway County","Cill Ciar�n (SRD)",1,"*N/A","","","","","","Q3-2018"
891,"SHIP CONSTRUCTION","Galway County","Kinvara (SRD)",1,"*N/A","","","","","","Q3-2018"
892,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige, Roundstone",8,"*N/A","","","","","","Q4-2020"
893,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",16,"*N/A","","","","","Q4-2020",""
894,"SHIP CONSTRUCTION","Galway County","Bridge Court, Ahascragh, Ballinasloe",18,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
895,"SHIP CONSTRUCTION","Galway County","Caisle�n Raithl�n, Ardrahan",12,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
896,"SHIP CONSTRUCTION","Galway County","Barrack Street, Loughrea",5,"*N/A","","","","","Q2-2020",""
897,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam - Phase 2",24,"*N/A","","","","","","Q3-2019"
898,"SHIP CONSTRUCTION","Galway County","Cartron, Kinvara",10,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
899,"SHIP CONSTRUCTION","Galway County","Gort U� Lochlainn, Moycullen",31,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
900,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam",16,"*N/A","","","","","","Q4-2018"
901,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",18,"*N/A","","","","","Q4-2020",""
902,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam - Phase 3",19,"*N/A","","","","","","Q4-2019"
903,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige , Roundstone",6,"*N/A","","","","","Q3-2019",""
904,"SHIP CONSTRUCTION","Galway County","Ballyglass, Ardrahan (SRD)",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
905,"SHIP CONSTRUCTION","Galway County","Woodpark, Portumna (SRD)",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
906,"SHIP CONSTRUCTION","Galway County","Carrowmore West, Clontuskert, Ballinasloe (SRD)",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
907,"SHIP CONSTRUCTION","Galway County","Cooralough, Williamstown (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
908,"SHIP CONSTRUCTION","Galway County","Woodfireld, Dunmore (SRD)",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
909,"SHIP CONSTRUCTION","Galway County","Knockaloura West, Brownsgrove, Tuam (SRD)",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
910,"SHIP CONSTRUCTION","Galway County","Creggaturlough, Craughwell (SRD)",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
911,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",10,"*N/A","","","","","Q4-2020",""
912,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",13,"*N/A","","","","","Q4-2020",""
913,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",18,"*N/A","","","","","Q4-2020",""
914,"CAS CONSTRUCTION TURNKEY","Galway County","Tubber Road, Gort",11,"Inis Housing Association Ltd","","","","","Q2-2020",""
915,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 2)",11,"Cluid Housing Association","","","","","Q4-2020",""
916,"CAS CONSTRUCTION","Galway County","Rossaveal Cottages, Ros a Mh�l, South Connemara",8,"Tearmann Eanna Teoranta","Stage 1 approved Q4-2016, outline design and costs being prepared.","","","","",""
917,"CAS CONSTRUCTION","Galway County","Cregboy, Claregalway",14,"Claregalway and District Day Care Centre","","","","","","Q3-2019"
918,"CAS CONSTRUCTION","Galway County","Eanach Mheain, Carraroe",13,"Tearmann Eanna Teoranta","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
919,"CAS CONSTRUCTION","Galway County","Mountbellew Housing",5,"T�ath Housing Association Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
920,"CAS CONSTRUCTION","Galway County","Springfield, Parkmore, Ballinasloe",4,"Peter Triest Housing Association Ltd","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
921,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 1)",13,"Cluid Housing Association","","","","","","Q2-2016"
922,"CAS CONSTRUCTION","Galway County","Dunlo Hill, Ballinasloe",18,"Cluid Housing Association","","","","","","Q3-2020"
923,"CAS CONSTRUCTION","Galway County","Aggard More, Craughwell",4,"Peter Triest Housing Association Ltd","","","","","","Q4-2019"
924,"CAS CONSTRUCTION","Galway County","The Old Post Office, Inverin",4,"Tearmann Eanna Teoranta","","","","","","Q4-2020"
925,"CAS CONSTRUCTION","Galway County","Shannon Road, Portumna",4,"Carraig Dubh Housing Association","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
926,"CALF Turnkey","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2018"
927,"CALF Turnkey","Galway County","Dunloe Street, Ballinasloe, Co. Galway (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
928,"CALF Turnkey","Galway County","Oranhill, Oranmore, Co. Galway (Phase 1)*",22,"Cluid Housing","","","","Q2-2020","",""
929,"CALF Turnkey","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 1)",11,"Cluid Housing","","","","","","Q4-2020"
930,"CALF Turnkey","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 2)",12,"Cluid Housing","","","","","Q4-2019",""
931,"CALF Turnkey","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 3)*",16,"Cluid Housing","","","","","Q4-2019",""
932,"CALF Construction","Galway County","Spiddal Cottages, Co Galway (Phase 1)",23,"Cluid Housing","","","","","","Q3-2017"
933,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole",2,"*N/A","","","","","","Q1-2018"
934,"SHIP CONSTRUCTION TURNKEY","Kerry","1-4 Steeple Meadow View, Milltown",4,"*N/A","","","","","","Q4-2017"
935,"SHIP CONSTRUCTION TURNKEY","Kerry","Meadow Park, Milltown",9,"*N/A","","","","","","Q2-2018"
936,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 2",5,"*N/A","","","","","","Q3-2018"
937,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin",3,"*N/A","","","","","","Q4-2018"
938,"SHIP CONSTRUCTION TURNKEY","Kerry","47 Woodview, Cahirdown, Listowel",1,"*N/A","","","","","","Q2-2018"
939,"SHIP CONSTRUCTION TURNKEY","Kerry","Dromin Upper, Listowel",8,"*N/A","","","","","","Q4-2020"
940,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 3",3,"*N/A","","","","","","Q4-2018"
941,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin - Phase 2",1,"*N/A","","","","","","Q2-2019"
942,"SHIP CONSTRUCTION TURNKEY","Kerry","Ballygologue, Road, Listowel",2,"*N/A","","","","","","Q4-2019"
943,"SHIP CONSTRUCTION TURNKEY","Kerry","Marian Terrace, Ballyheigue",9,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
944,"SHIP CONSTRUCTION SINGLE STAGE","Kerry","Pinewood Estate, Killarney",6,"*N/A","","","","","","Q4-2019"
945,"SHIP CONSTRUCTION SINGLE STAGE","Kerry","Glannagilliagh, Caragh Lake, Killorglin (SRD)",1,"*N/A","","","","","Q4-2020",""
946,"SHIP CONSTRUCTION SINGLE STAGE","Kerry","Knockawinna, Brosna, Co Kerry",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
947,"SHIP CONSTRUCTION SINGLE STAGE","Kerry","Carrigcannon, Lyreacrumpane (SRD)",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
948,"SHIP CONSTRUCTION","Kerry","Cois Gallain, Killorglin",14,"*N/A","","","","","","Q4-2019"
949,"SHIP CONSTRUCTION","Kerry","Rathmore/Barraduff",20,"*N/A","","","","","Q4-2019",""
950,"SHIP CONSTRUCTION","Kerry","Ardbhearna, Kenmare",22,"*N/A","","","","","","Q4-2018"
951,"SHIP CONSTRUCTION","Kerry","Bill Kinnerk Road, Tralee",4,"*N/A","","","","","","Q1-2018"
952,"SHIP CONSTRUCTION","Kerry","Cuirt Eaglaise, Milltown",8,"*N/A","","","","","","Q4-2019"
953,"SHIP CONSTRUCTION","Kerry","Killeen, Tralee",21,"*N/A","","","","","","Q3-2019"
954,"SHIP CONSTRUCTION","Kerry","Lixnaw",4,"*N/A","","","","","","Q4-2017"
955,"SHIP CONSTRUCTION","Kerry","The Park, Killarney",20,"*N/A","","","","","","Q1-2018"
956,"SHIP CONSTRUCTION","Kerry","Courthouse Lawn, Listowel",7,"*N/A","","","","","","Q4-2019"
957,"SHIP CONSTRUCTION","Kerry","Dreenagh, Ballyheigue (SRD)",1,"*N/A","","","","","","Q1-2017"
958,"SHIP CONSTRUCTION","Kerry","Glenach, Ballybunion",20,"*N/A","","","","","Q4-2019",""
959,"SHIP CONSTRUCTION","Kerry","Callinafercy, Milltown",1,"*N/A","","","","","","Q4-2018"
960,"SHIP CONSTRUCTION","Kerry","Cahernaboshina, Ventry",1,"*N/A","","","","","","Q4-2018"
961,"SHIP CONSTRUCTION","Kerry","An Carrigin, Tralee",28,"*N/A","","","","","","Q4-2020"
962,"SHIP CONSTRUCTION","Kerry","Pinewood Estate, Killarney",1,"*N/A","","","","","","Q4-2018"
963,"SHIP CONSTRUCTION","Kerry","Drom West, Glenbeigh",1,"*N/A","","","","","","Q4-2020"
964,"SHIP CONSTRUCTION","Kerry","Meanus, Killorglin",1,"*N/A","","","","","","Q3-2019"
965,"SHIP CONSTRUCTION","Kerry","Tullig Beg, Killorglin",1,"*N/A","","","","","","Q3-2019"
966,"SHIP CONSTRUCTION","Kerry","Owngarry, Killorglin",1,"*N/A","","","","","","Q4-2019"
967,"SHIP CONSTRUCTION","Kerry","Lohercannon, Tralee",61,"*N/A","","","","","Q3-2020",""
968,"SHIP CONSTRUCTION","Kerry","BallinaKilly Lower, Glenbeigh",1,"*N/A","","","","","","Q4-2020"
969,"SHIP CONSTRUCTION","Kerry","Ashgrove, Listowel",1,"*N/A","","","","","","Q3-2017"
970,"SHIP CONSTRUCTION","Kerry","Cullenagh Upper, Beaufort",1,"*N/A","","","","","Q1-2020",""
971,"SHIP CONSTRUCTION","Kerry","Farranwilliam, Ardfert",22,"*N/A","","","","","Q3-2019",""
972,"SHIP CONSTRUCTION","Kerry","Ballyrickard, Tralee",21,"*N/A","","","","","Q3-2020",""
973,"SHIP CONSTRUCTION","Kerry","Croogorts, Tralee",30,"*N/A","","","","","Q3-2020",""
974,"SHIP CONSTRUCTION","Kerry","Rock Rd., Killarney",10,"*N/A","","","","","Q3-2020",""
975,"SHIP CONSTRUCTION","Kerry","Gortamullin, Kenmare (Phase 4)",14,"*N/A","","","","","Q4-2019",""
976,"SHIP CONSTRUCTION","Kerry","Baile an Gharraí, Lixnaw (Phase 2)",10,"*N/A","","","","","Q1-2020",""
977,"SHIP CONSTRUCTION","Kerry","Woodview Place, Tarbert",22,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
978,"SHIP CONSTRUCTION","Kerry","Marconi South, Ballybunion",14,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
979,"SHIP CONSTRUCTION","Kerry","Rahoonane - New Site, Tralee",8,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
980,"SHIP CONSTRUCTION","Kerry","Rusheen, Ballylongford",7,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
981,"SHIP CONSTRUCTION","Kerry","Gortamullin, Kenmare (Phase 5)",14,"*N/A","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
982,"REGENERATION","Kerry","Croilar Na Mistaelach, Tralee",11,"*N/A","","","","","","Q4-2018"
983,"REGENERATION","Kerry","Urban Terrace, Tralee",2,"*N/A","","","","","","Q4-2016"
984,"REGENERATION","Kerry","Clonmore Road, Tralee",3,"*N/A","","","","","","Q4-2016"
985,"REGENERATION","Kerry","St Martin's Park, Tralee",4,"*N/A","","","","","","Q4-2018"
986,"REGENERATION","Kerry","Dingle Road, Tralee",1,"*N/A","","","","","","Q2-2018"
987,"CAS CONSTRUCTION","Kerry","Armagh House, Killarney",6,"Cluid Housing Association","","","","","Q4-2019",""
988,"CAS CONSTRUCTION","Kerry","22 College Road, Castleisland",4,"Kerry Emigrant Support Housing Association Ltd","","","","","","Q4-2018"
989,"CAS CONSTRUCTION","Kerry","Chamfers Place (Mitchels road, Tralee)",18,"Cluid Housing Association","","","","","Q4-2020",""
990,"CAS CONSTRUCTION","Kerry","The Parsonage, Caherciveen",5,"Caherciveen Social Services (Housing) Ltd","","","","","","Q4-2018"
991,"CAS CONSTRUCTION","Kerry","The Presentation Convent, Rathmore",4,"Social Action Group Rathmore","","","","","","Q3-2020"
992,"CALF Turnkey","Kerry","Ard Na Greine, Knockavota, Milltown, Co. Kerry (Phase 1)*",54,"Cluid Housing","","","","","Q4-2020",""
993,"CALF Turnkey","Kerry","Barraduff, Killarney, Co. Kerry (Phase 1)*",15,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
994,"CALF Turnkey","Kerry","Barraduff, Killarney, Co. Kerry (Phase 2)*",14,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
995,"CALF Turnkey","Kerry","Barraduff, Killarney, Co. Kerry (Phase 3)",14,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
996,"CALF Turnkey","Kerry","Barraduff, Killarney, Co. Kerry (Phase 4)*",13,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
997,"CALF Turnkey","Kerry","Cahirdown Wood, Listowel, Co. Kerry (Phase 1)*",12,"Cluid Housing","","","","","Q3-2020",""
998,"CALF Turnkey","Kerry","Cahirdown Wood, Listowel, Co. Kerry (Phase 2)",26,"Cluid Housing","","","","","Q3-2020",""
999,"CALF Turnkey","Kerry","Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry (Phase 1)",5,"Cluid Housing","","","","","","Q2-2016"
1000,"CALF Turnkey","Kerry","Commons East, Ardfert, Co. Kerry (Phase 1)*",12,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1001,"CALF Turnkey","Kerry","Commons East, Ardfert, Co. Kerry (Phase 2)",8,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1002,"CALF Turnkey","Kerry","Commons East, Ardfert, Co. Kerry (Phase 3)",10,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1003,"CALF Turnkey","Kerry","Deerpark Avenue, Tralee, Co. Kerry (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2020"
1004,"CALF Turnkey","Kerry","Derreen, Killarney, Co Kerry  (Phase 1)*",61,"Cluid Housing","","","","","","Q3-2020"
1005,"CALF Turnkey","Kerry","Doon Road, Lisloose, Tralee, Co. Kerry (Phase 1)*",14,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2020"
