"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1871,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",9,"*N/A","","","","","","Q1-2019"
1872,"SHIP CONSTRUCTION","South Dublin","Nangor Road, Clondalkin, Dublin 22",93,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1873,"CAS CONSTRUCTION","South Dublin","Collinstown Grove, Clondalkin",4,"T�ath Housing Association Ltd","","","","","","Q1-2020"
1874,"CAS CONSTRUCTION","South Dublin","Old Nangor Road, Clondalkin",10,"Simon Community : Dublin Simon","","","","","Q4-2019",""
1875,"CALF TURNKEY","South Dublin","2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,"T�ath Housing Association","","","","","","Q2-2019"
1876,"CALF TURNKEY","South Dublin","6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q4-2019"
1877,"CALF TURNKEY","South Dublin","Ardsolus, Old Naas Road, Dublin 22 (Phase 1)",10,"Respond","","","","","","Q3-2019"
1878,"CALF TURNKEY","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,"T�ath Housing Association","","","","","","Q4-2018"
1879,"CALF TURNKEY","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,"T�ath Housing Association","","","","","","Q1-2019"
1880,"CALF TURNKEY","South Dublin","Balrothery, Castletymon Road, Dublin Road (Phase 1)*",13,"Cluid Housing","","","","","","Q4-2019"
1881,"CALF TURNKEY","South Dublin","Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,"Oaklee Housing","","","","","","Q3-2017"
1882,"CALF TURNKEY","South Dublin","Burgage Gardens, Newcastle, Co. Dublin (Phase 1)*",4,"Respond","","","","","","Q2-2020"
1883,"CALF TURNKEY","South Dublin","Burgage, Newcastle, Co. Dublin (Phase 1)",10,"Respond","","","","","","Q4-2019"
1884,"CALF TURNKEY","South Dublin","Burgage, Newcastle, Co. Dublin (Phase 2)",26,"Respond","","","","","","Q2-2020"
1885,"CALF TURNKEY","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 1)",45,"T�ath Housing Association","","","","","Q3-2019",""
1886,"CALF TURNKEY","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 2)",15,"T�ath Housing Association","","","","","Q3-2019",""
1887,"CALF TURNKEY","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 3)*",23,"T�ath Housing Association","","","","","Q3-2019",""
1888,"CALF TURNKEY","South Dublin","Cuil Duin Green, Cuil Duin, Citywest, Dublin 24 (Phase 1)*",24,"Fold Housing Association Ireland Ltd","","","","","Q4-2018",""
1889,"CALF TURNKEY","South Dublin","De Selby Heights, Tallaght, Dublin 24 (Phase 1)",9,"T�ath Housing Association","","","","","","Q4-2019"
1890,"CALF TURNKEY","South Dublin","Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q1-2018"
1891,"CALF TURNKEY","South Dublin","Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,"Cluid Housing","","","","","","Q1-2018"
1892,"CALF TURNKEY","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q4-2019"
1893,"CALF TURNKEY","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 2)*",9,"Cluid Housing","","","","","Q1-2019",""
1894,"CALF TURNKEY","South Dublin","Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2018"
1895,"CALF TURNKEY","South Dublin","Edenbrook, Citywest, Dublin 24 (Phase 1)",17,"T�ath Housing Association","","","","","","Q4-2019"
1896,"CALF TURNKEY","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,"Cluid Housing","","","","","","Q1-2018"
1897,"CALF TURNKEY","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,"Cluid Housing","","","","","","Q2-2018"
1898,"CALF CONSTRUCTION","South Dublin","Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,"Cluid Housing","","","","","Q3-2020",""
1899,"CALF TURNKEY","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 1)",32,"Respond","","","","","Q4-2018",""
1900,"CALF TURNKEY","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 2)*",62,"Respond","","","","","Q4-2018",""
1901,"CALF TURNKEY","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 1)*",12,"T�ath Housing Association","","","","","Q2-2019",""
1902,"CALF TURNKEY","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 2)*",9,"T�ath Housing Association","","","","","Q2-2019",""
1903,"CALF TURNKEY","South Dublin","Kingswood, Old Ballymount Road, Tallaght, Dublin 24 (Phase 1)*",24,"Respond","","","","","Q4-2018",""
1904,"CALF TURNKEY","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 1)*",13,"Cluid Housing","","","","","","Q2-2018"
1905,"CALF TURNKEY","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 2)",12,"Cluid Housing","","","","","","Q4-2018"
1906,"CALF TURNKEY","South Dublin","Millford Manor, Clondalkin - Houses (Phase 1)",25,"Cluid Housing","","","","","","Q1-2017"
1907,"CALF TURNKEY","South Dublin","Millford Manor, Clondalkin - Houses (Phase 2)",15,"Cluid Housing","","","","","","Q3-2017"
1908,"CALF TURNKEY","South Dublin","Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,"Cluid Housing","","","","","","Q4-2018"
1909,"CALF TURNKEY","South Dublin","New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,"Cluid Housing","","","","","","Q3-2017"
1910,"CALF TURNKEY","South Dublin","Palmerstown Avenue, Dublin 20 (Phase 1)",7,"Respond","","","","","Q2-2019",""
1911,"CALF TURNKEY","South Dublin","Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,"T�ath Housing Association","","","","","","Q3-2018"
1912,"CALF TURNKEY","South Dublin","Raheen House, Old Nangor Road, Clondalkin, Dublin 22 (Phase 1)",9,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
1913,"CALF TURNKEY","South Dublin","Rathmill Meadows and Green, Rathcoole, Co. Dublin (Phase 1)*",11,"Oaklee Housing","","","","","","Q4-2019"
1914,"CALF TURNKEY","South Dublin","Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1915,"CALF TURNKEY","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2017"
1916,"CALF TURNKEY","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1917,"CALF TURNKEY","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
1918,"CALF TURNKEY","South Dublin","Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,"Cluid Housing","","","","","","Q2-2019"
1919,"CALF TURNKEY","South Dublin","Somerton, Lucan, Co. Dublin (Phase 1)*",32,"Respond","","","","","","Q4-2019"
1920,"CALF CONSTRUCTION","South Dublin","St. Catherine�s, Killinarden, Tallaght, Dublin 24 (Phase 1)",2,"Sophia Housing Association Ltd","","","","Q2-2019","",""
1921,"CALF TURNKEY","South Dublin","St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,"Respond","","","","","","Q4-2019"
1922,"CALF TURNKEY","South Dublin","Station Road, Clondalkin, Co. Dublin (Phase 1)",5,"Respond","","","","","","Q3-2017"
1923,"CALF TURNKEY","South Dublin","Stone Masons Court, Fortunestown Lane, Citywest Dublin (Phase 1)*",12,"Cluid Housing","","","","","","Q2-2019"
1924,"CALF TURNKEY","South Dublin","Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,"T�ath Housing Association","","","","","","Q4-2018"
1925,"CALF TURNKEY","South Dublin","The Mews, Citywest Village, Citywest, Dublin 24 (Phase 1)*",22,"Fold Housing Association Ireland Ltd","","","","","Q3-2019",""
1926,"CALF TURNKEY","South Dublin","The Rise, Citywest Village, Citywest, Dublin 24 (Phase 1)*",13,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
1927,"CALF CONSTRUCTION","South Dublin","The Weir, Whitestown Way, Tallaght, Dublin 24 (Phase 1)",81,"Cluid Housing","","","","Q3-2020","",""
1928,"CALF TURNKEY","South Dublin","Tullyhall, Lucan, Co Dublin (Phase 1)*",2,"T�ath Housing Association","","","","","","Q3-2017"
1929,"CALF TURNKEY","South Dublin","Tullyhall, Lucan, Co Dublin (Phase 2)*",2,"T�ath Housing Association","","","","","","Q4-2018"
1930,"CALF TURNKEY","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,"Cluid Housing","","","","","","Q4-2018"
1931,"CALF TURNKEY","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,"Cluid Housing","","","","","","Q2-2019"
1932,"CALF TURNKEY","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,"Cluid Housing","","","","","","Q4-2019"
1933,"CALF TURNKEY","South Dublin","Wilkins Court, Limekiln Lane, Dublin 12 (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
1934,"CALF TURNKEY","South Dublin","Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1935,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","South Dublin","Corkage Grange (part of Kilcarbery)",109,"*N/A","","","","","Q1-2019",""
1936,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard",6,"*N/A","","","","","","Q2-2019"
1937,"SHIP CONSTRUCTION TURNKEY","Tipperary","Strylea, Fethard",3,"*N/A","","","","","Q4-2018",""
1938,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane",9,"*N/A","","","","","","Q4-2018"
1939,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles",4,"*N/A","","","","","","Q4-2018"
1940,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane (Phase 2)",4,"*N/A","","","","","","Q2-2019"
1941,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles (Phase 2)",5,"*N/A","","","","","","Q4-2019"
1942,"SHIP CONSTRUCTION TURNKEY","Tipperary","Prior Park, Clonmel",20,"*N/A","","","","","Q3-2020",""
1943,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ma Charoin, Manna South, Templemore",13,"*N/A","","","","","Q3-2020",""
1944,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard (Phase 2)",5,"*N/A","","","","","","Q3-2019"
1945,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard (Phase 3)",6,"*N/A","","","","","","Q4-2019"
1946,"SHIP CONSTRUCTION TURNKEY","Tipperary","Glencree, Newport",3,"*N/A","","","","","","Q4-2019"
1947,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard (Phase 4)",4,"*N/A","","","","","","Q4-2019"
1948,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles (Phase 3)",5,"*N/A","","","","","","Q4-2019"
1949,"SHIP CONSTRUCTION TURNKEY","Tipperary","Prior Park, Clonmel",21,"*N/A","","","","","Q3-2020",""
1950,"SHIP CONSTRUCTION TURNKEY","Tipperary","Rosanna Close, Tipperary Town",19,"*N/A","","","","","Q3-2020",""
1951,"SHIP CONSTRUCTION TURNKEY","Tipperary","Glenconnor Road, Clonmel",21,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1952,"SHIP CONSTRUCTION","Tipperary","Mulkear View, Newport, Tipperary",3,"*N/A","","","","","","Q4-2018"
1953,"SHIP CONSTRUCTION","Tipperary","Grange Road, Ballina",4,"*N/A","","","","","Q3-2020",""
1954,"SHIP CONSTRUCTION","Tipperary","Ard na Greine, Clonmel",2,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1955,"SHIP CONSTRUCTION","Tipperary","Knockanrawley",28,"*N/A","","","","","Q4-2019",""
1956,"SHIP CONSTRUCTION","Tipperary","Mill Road, Thurles",28,"*N/A","","","","","Q2-2020",""
1957,"SHIP CONSTRUCTION","Tipperary","Mulkear View, Newport",11,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1958,"SHIP CONSTRUCTION","Tipperary","Treacy Park, Carrick on Suir",1,"*N/A","","","","","","Q3-2018"
1959,"SHIP CONSTRUCTION","Tipperary","Templetouhy",10,"*N/A","","","","","Q4-2019",""
1960,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",12,"*N/A","Stage 1 approved Q1-2016, outline design and costs being prepared.","","","","",""
1961,"SHIP CONSTRUCTION","Tipperary","Abbey Street, Cahir",10,"*N/A","","","","","Q3-2020",""
1962,"SHIP CONSTRUCTION","Tipperary","Borrisokane",16,"*N/A","","","","","Q3-2020",""
1963,"SHIP CONSTRUCTION","Tipperary","Portroe, Nenagh",14,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1964,"SHIP CONSTRUCTION","Tipperary","Cloughjordan",2,"*N/A","","","","","Q3-2019",""
1965,"SHIP CONSTRUCTION","Tipperary","Glenconnor Road, Clonmel",26,"*N/A","","","","","","Q3-2020"
1966,"SHIP CONSTRUCTION","Tipperary","Gortataggart, Thurles",2,"*N/A","","","","","","Q4-2018"
1967,"SHIP CONSTRUCTION","Tipperary","Kilcooly Way, Gortnahoe",5,"*N/A","","","","","","Q3-2020"
1968,"SHIP CONSTRUCTION","Tipperary","Lacey Avenue, Templemore",3,"*N/A","","","","","","Q3-2016"
1969,"SHIP CONSTRUCTION","Tipperary","Mitchel St., Thurles",1,"*N/A","","","","","Q4-2019",""
1970,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",1,"*N/A","","","","","","Q4-2016"
1971,"SHIP CONSTRUCTION","Tipperary","Lower Ballingarry",1,"*N/A","","","","","","Q2-2016"
1972,"SHIP CONSTRUCTION","Tipperary","Poulamaleen, Faugheen",1,"*N/A","","","","","","Q2-2016"
1973,"SHIP CONSTRUCTION","Tipperary","Cormack Drive, Nenagh",12,"*N/A","","","","","Q3-2020",""
1974,"SHIP CONSTRUCTION","Tipperary","Lacey Avenue, Templemore",1,"*N/A","","","","","","Q3-2017"
1975,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",1,"*N/A","","","","","","Q4-2018"
1976,"SHIP CONSTRUCTION","Tipperary","Bansha",14,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1977,"SHIP CONSTRUCTION","Tipperary","Ned Hayes Drive, Twomileborris, Thurles",22,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1978,"SHIP CONSTRUCTION","Tipperary","Donohill, ",4,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1979,"SHIP CONSTRUCTION","Tipperary","Mullinahone",10,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1980,"SHIP CONSTRUCTION","Tipperary","Clerihan",14,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1981,"SHIP CONSTRUCTION","Tipperary","Ard Alainn, Moyne",9,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1982,"SHIP CONSTRUCTION","Tipperary","Ardcroney",4,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
1983,"SHIP CONSTRUCTION","Tipperary","Comeragh Drive, Clonmel",2,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1984,"SHIP CONSTRUCTION","Tipperary","Church Street, Templemore",2,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1985,"SHIP CONSTRUCTION","Tipperary","Castle Crescent, Nenagh",8,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1986,"SHIP CONSTRUCTION","Tipperary","Boherclough Street, Cashel",12,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1987,"SHIP CONSTRUCTION","Tipperary","Grove Street. Roscrea",9,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1988,"CAS CONSTRUCTION TURNKEY","Tipperary","Monastery Close, Templemore Road, Thurles",15,"Thurles Lions Trust Housing Assoc.","","","","","","Q2-2019"
1989,"CAS CONSTRUCTION TURNKEY","Tipperary","Drummin Village, Nenagh",8,"Nenagh Voluntary Housing Association","","","","","Q2-2020",""
1990,"CAS CONSTRUCTION","Tipperary","Ballinagrana, Carrick on Suir",3,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1991,"CAS CONSTRUCTION","Tipperary","Castle Street, Carrick on Suir",1,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1992,"CAS CONSTRUCTION","Tipperary","The Strand, Carrick on Suir",3,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1993,"CAS CONSTRUCTION","Tipperary","Glenconnor Road, Clonmel",9,"Cluid Housing Association","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1994,"CAS CONSTRUCTION","Tipperary","Stanwix House, Kickham Street, Thurles",19,"Thurles Lions Trust Housing Assoc.","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1995,"CAS CONSTRUCTION","Tipperary","Main Street, Templemore",14,"Templemore Voluntary Housing Association","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1996,"CALF TURNKEY","Tipperary","An Duiche, Tipperary Town, Co. Tipperary (Phase 1)",41,"Respond","","","","","","Q4-2019"
1997,"CALF TURNKEY","Tipperary","An Duiche, Tipperary Town, Co. Tipperary (Phase 2)",2,"Respond","","","","","","Q4-2019"
1998,"CALF TURNKEY","Tipperary","Ashbury, Roscrea, Co Tipperary (Phase 1)",12,"Cluid Housing","","","","","","Q2-2017"
1999,"CALF TURNKEY","Tipperary","Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
2000,"CALF TURNKEY","Tipperary","Ashgrove, Monadreen, Thurles, Co. Tipperary (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
2001,"CALF TURNKEY","Tipperary","Ashgrove, Monadreen, Thurles, Co. Tipperary (Phase 2)",7,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2019",""
2002,"CALF TURNKEY","Tipperary","Mill Street, Carrick on Suir, Co. Tipperary (Phase 1)",22,"T�ath Housing Association","","","","","","Q3-2020"
2003,"CALF TURNKEY","Tipperary","The Avenue, Drummin Village, Nenagh, Co. Tipperary (Phase 1)",13,"Focus Housing Association CLG","","","","","Q2-2020",""
2004,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan",8,"*N/A","","","","","","Q3-2018"
2005,"SHIP CONSTRUCTION TURNKEY","Waterford","Gibbethill, Gracedieu",5,"*N/A","","","","","","Q3-2018"
2006,"SHIP CONSTRUCTION TURNKEY","Waterford","Carrickphierish, Gracedieu, Waterford",31,"*N/A","","","","","","Q4-2018"
2007,"SHIP CONSTRUCTION TURNKEY","Waterford","Shandon, Dungarvan",5,"*N/A","","","","","","Q3-2018"
2008,"SHIP CONSTRUCTION TURNKEY","Waterford","Airport Road, Waterford City",33,"*N/A","","","","","","Q4-2018"
2009,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan - Phase 2",10,"*N/A","","","","","","Q4-2018"
2010,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan - Phase 3",21,"*N/A","","","","","","Q4-2018"
2011,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford",20,"*N/A","","","","","","Q3-2019"
2012,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford - Phase 2",14,"*N/A","","","","","","Q4-2019"
2013,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford - Phase 3",6,"*N/A","","","","","","Q2-2020"
2014,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford - Phase 4",15,"*N/A","","","","","","Q3-2020"
2015,"SHIP CONSTRUCTION TURNKEY","Waterford","Estuary Heights, Shandon, Dungarvan",6,"*N/A","","","","","","Q3-2019"
2016,"SHIP CONSTRUCTION TURNKEY","Waterford","Railway Gardens, Lismore",17,"*N/A","","","","","Q3-2019",""
2017,"SHIP CONSTRUCTION TURNKEY","Waterford","Estuary Heights, Shandon, Dungarvan",8,"*N/A","","","","","","Q4-2019"
2018,"SHIP CONSTRUCTION TURNKEY","Waterford","Estuary Heights, Shandon, Dungarvan",6,"*N/A","","","","","","Q4-2019"
2019,"SHIP CONSTRUCTION TURNKEY","Waterford","Mount Suir, Gracedieu, Carrickphierish",18,"*N/A","","","","","","Q4-2019"
2020,"SHIP CONSTRUCTION TURNKEY","Waterford","19 & 20 Bride View Close, Tallow",2,"*N/A","","","","","","Q3-2020"
2021,"SHIP CONSTRUCTION TURNKEY","Waterford","Mount William, Williamstown, Waterford City",20,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
2022,"SHIP CONSTRUCTION TURNKEY","Waterford","7A and 8A Barnes Lane, The Glen, Waterford",2,"*N/A","","","","","","Q4-2019"
2023,"SHIP CONSTRUCTION TURNKEY","Waterford","4 and 12 Ard Alainn, Sherlock Walk, Gracedieu, Waterford",2,"*N/A","","","","","","Q2-2020"
2024,"SHIP CONSTRUCTION TURNKEY","Waterford","Mount William, Williamstown, Waterford City",45,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
2025,"SHIP CONSTRUCTION RAPID","Waterford","Ballygunner, Waterford City",49,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
2026,"SHIP CONSTRUCTION RAPID","Waterford","Ballynaneashagh, Waterford City",22,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
2027,"SHIP CONSTRUCTION","Waterford","An Garran, Crobally Upper, Tramore",50,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
2028,"SHIP CONSTRUCTION","Waterford","Alms Houses, Tallow",4,"*N/A","","","","","","Q4-2018"
2029,"SHIP CONSTRUCTION","Waterford","Ardmore Park/Priory Lawn, Waterford City (also referred to as Saviours Green, Ballybeg)",5,"*N/A","","","","","","Q3-2020"
2030,"SHIP CONSTRUCTION","Waterford","Ballinroad, Dungarvan",21,"*N/A","","","","","","Q2-2020"
2031,"SHIP CONSTRUCTION","Waterford","Barrack Street, Cappoquin",4,"*N/A","","","","","","Q4-2017"
2032,"SHIP CONSTRUCTION","Waterford","Coolfin Woods, Portlaw",12,"*N/A","","","","","","Q2-2019"
2033,"SHIP CONSTRUCTION","Waterford","Larchville, Waterford City",5,"*N/A","","","","","Q1-2020",""
2034,"SHIP CONSTRUCTION","Waterford","Patrick Street, Tramore",2,"*N/A","","","","","","Q3-2018"
2035,"SHIP CONSTRUCTION","Waterford","Doyle Street, Waterford City",4,"*N/A","","","","","Q2-2020",""
2036,"SHIP CONSTRUCTION","Waterford","Old Cinema Site, Dungarvan",15,"*N/A","","","","","","Q4-2016"
2037,"SHIP CONSTRUCTION","Waterford","The Glen, Bridge St, Waterford",17,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
2038,"SHIP CONSTRUCTION","Waterford","Clarendon Court, Penrose Lane, Waterford",24,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
2039,"SHIP CONSTRUCTION","Waterford","Summerland Square, Waterford",12,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
2040,"SHIP CONSTRUCTION","Waterford","Bath St, Waterford City",4,"*N/A","","","","","","Q4-2019"
2041,"SHIP CONSTRUCTION","Waterford","Graigueshoneen, Kilmacthomas, Co Waterford",16,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
2042,"SHIP CONSTRUCTION","Waterford","Mount Esker, Ballytruckle Road, Waterford City",14,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
2043,"SHIP CONSTRUCTION","Waterford","Newgate Street, Waterford City",36,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
2044,"CAS CONSTRUCTION","Waterford","Convent Hill, Tramore",10,"Society of Saint Vincent de Paul","","","","","","Q1-2017"
2045,"CAS CONSTRUCTION","Waterford","Powersfield, Hennessys Road, Waterford",3,"Focus Ireland","","Stage 2 approved Q2-2016, full design/tender being prepared.","","","",""
2046,"CAS CONSTRUCTION","Waterford","Wadding Manor, Ferrybank",10,"Respond","","","","","Q4-2019",""
2047,"CAS CONSTRUCTION","Waterford","The Paddocks, Williamstown Rd. Waterford Phase 1",9,"Anvers Housing Association Ltd","","","Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.","","",""
2048,"CALF TURNKEY","Waterford","Kilbarry, Waterford (Phase 1)",69,"Respond","","","","","","Q3-2020"
2049,"CALF CONSTRUCTION","Waterford","St Johns College, Waterford (Phase 1)",36,"Respond","","","","","","Q1-2016"
2050,"CALF TURNKEY","Waterford","The Walk, Fairfield Park, Kilcohan, Waterford (Phase 1)",40,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
2051,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Waterford","Slievekeale, Waterford City",58,"*N/A","","","","","Q4-2019",""
2052,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone",55,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
2053,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone (Phase 2A and 2B)",55,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
2054,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone (Phase 3A)",38,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
2055,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone (Phase 3B)",22,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
2056,"SHIP CONSTRUCTION TURNKEY","Westmeath","Belvedere Hills, Mullingar",21,"*N/A","","","","","","Q4-2017"
2057,"SHIP CONSTRUCTION TURNKEY","Westmeath","Cloon Lara, Mullingar",12,"*N/A","","","","","","Q2-2019"
2058,"SHIP CONSTRUCTION TURNKEY","Westmeath","Abbeybrook, Kilbeggan",7,"*N/A","","","","","","Q1-2019"
