"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1125,"SHIP CONSTRUCTION","Kilkenny","Inchacarron, Mullinavat",2,"*N/A","","","","","Q3-2019",""
1126,"SHIP CONSTRUCTION","Kilkenny","Shanganny, Jenkinstown",2,"*N/A","","","","","Q4-2019",""
1127,"SHIP CONSTRUCTION","Kilkenny","Old Fire Station, Graiguenamanagh, Co. Kilkenny",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1128,"SHIP CONSTRUCTION","Kilkenny","Blackstaff House, Callan",4,"*N/A","","","","","","Q4-2019"
1129,"SHIP CONSTRUCTION","Kilkenny","Barna, Freshford",1,"*N/A","","","","","","Q2-2018"
1130,"SHIP CONSTRUCTION","Kilkenny","10 Golf Links Road, Kilkenny",6,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1131,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill (Phase 2) Kennyswell Road, Kilkenny",35,"*N/A","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
1132,"SHIP CONSTRUCTION","Kilkenny","Main Street, Piltown",17,"*N/A","","","","","Q1-2019",""
1133,"SHIP CONSTRUCTION","Kilkenny","Station Road, Ballyragget",22,"*N/A","","","","","Q3-2019",""
1134,"SHIP CONSTRUCTION","Kilkenny","Bolton, Callan",38,"*N/A","","","","","","Q3-2020"
1135,"SHIP CONSTRUCTION","Kilkenny","Donaguile, Castlecomer",33,"*N/A","","","","","Q1-2019",""
1136,"SHIP CONSTRUCTION","Kilkenny","Rosehill, Kells Road, Kilkenny",6,"*N/A","","","","","","Q1-2017"
